drop_height,drop_mass,optimal_drop_length
3.0,3.00,1.507
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
2.5,0.65,1
